Customer_ID,Age,Gender,Income,Spending_Score,Num_Purchases,Avg_Transaction_Amount,Total_Spending,Recency,Tenure_Months,Primary_Category,Secondary_Category,Channel_Preference,Discount_Sensitivity
CUST_000001,47,Male,28574.50868172369,58.47117741104025,21,341.7800426045502,7177.380894695554,70.84326706252696,60.0,Food & Grocery,Electronics,Online,19.32636115909833
CUST_000002,37,Male,21719.50738990626,40.07799637805531,12,122.9337281931548,1475.2047383178576,8.080356394165845,12.227336255413082,Toys,Food & Grocery,Online,47.004840365369326
CUST_000003,49,Male,46676.72589246586,76.02133850157895,17,99.46836119499199,1690.9621403148637,29.367489860710695,14.692466362468176,Beauty,Sports,Online,34.03909907135112
CUST_000004,62,Male,15468.619756030366,31.560975646054693,20,56.986439497109,1139.72878994218,114.52940845584466,22.345564356926232,Beauty,Clothing,Both,23.42307629615955
CUST_000005,36,Female,31763.727837708364,17.54519962367442,20,88.98694802072492,1779.7389604144985,86.06951943802673,24.384835036460277,Sports,Beauty,Both,57.903463542228316
CUST_000006,36,Male,15000.0,70.30802977864948,18,23.656505554810618,425.81709998659113,19.88586209200102,6.217738429952701,Books,Home & Garden,Both,83.02086930876757
CUST_000007,63,Male,18616.411107973312,39.84594341291092,15,308.5051291224136,4627.576936836204,26.44558460514221,60.0,Electronics,Home & Garden,Online,4.767276393684988
CUST_000008,51,Female,23422.046848127076,42.08697464990789,16,41.82756274024113,669.241003843858,42.20186586411445,42.23886467902456,Beauty,Food & Grocery,Both,31.51968235246229
CUST_000009,32,Male,62840.9433262894,34.326484111223216,18,19.39697217047303,349.14549906851454,78.84687877404666,3.3498092505658454,Sports,Beauty,Online,49.61098673943508
CUST_000010,48,Female,51228.639106901006,38.17956511114791,16,82.7943944668553,1324.7103114696847,9.883673297321549,60.0,Food & Grocery,Beauty,Offline,59.799903180990185
CUST_000011,33,Female,,85.07583568817165,21,119.50718251424976,2509.650832799245,45.00253776561615,60.0,Sports,Home & Garden,Offline,43.64665976747628
CUST_000012,33,Male,52296.50896138943,91.56246914459169,19,259.72010418552026,4934.681979524885,4.571502845341842,10.49971688039297,Home & Garden,Toys,Online,60.758014625654326
CUST_000013,43,Female,56602.672573534765,94.87446590361523,19,109.4898822580062,2080.3077629021177,30.431685746301756,45.25695099000038,Sports,Electronics,Online,74.59140445090733
CUST_000014,18,Female,33512.29199755358,77.25301552943782,17,188.74385554472536,3208.645544260331,12.716867870000033,7.248049681412425,Food & Grocery,Toys,Online,55.497017012860645
CUST_000015,18,Male,18175.156768982917,61.65678149433094,18,189.40088756573192,3409.2159761831745,22.18045598920691,4.18913845518571,Home & Garden,Clothing,Online,58.04699903955459
CUST_000016,31,Male,32729.884707852358,14.192860201672168,54,175.1396225559117,15762.566030032052,24.161870380566327,46.24930680171515,Clothing,Toys,Online,18.605861642594252
